DATE,TIME,RENT_ID,AVAILABLE
20240301,0,2111,0
20240301,0,2112,9
20240301,0,2116,2
20240301,0,2122,1
20240301,0,2128,4
20240301,0,2129,3
20240301,0,2130,0
20240301,0,2139,11
20240301,0,2143,2
20240301,0,2148,4
20240301,0,2159,3
20240301,0,2171,2
20240301,0,2172,11
20240301,0,2178,10
20240301,0,2179,9
20240301,0,2185,9
20240301,0,2186,1
20240301,0,2191,8
20240301,0,2198,0
20240301,0,2199,2
20240301,0,3310,1
20240301,0,3311,0
20240301,0,3802,0
20240301,1,2111,2
20240301,1,2112,7
20240301,1,2116,5
20240301,1,2122,0
20240301,1,2128,4
20240301,1,2129,1
20240301,1,2130,0
20240301,1,2139,10
20240301,1,2143,3
20240301,1,2148,2
20240301,1,2159,4
20240301,1,2171,2
20240301,1,2172,11
20240301,1,2178,10
20240301,1,2179,10
20240301,1,2185,9
20240301,1,2186,1
20240301,1,2191,7
20240301,1,2198,0
20240301,1,2199,2
20240301,1,3310,1
20240301,1,3311,0
20240301,1,3802,0
20240301,2,2111,0
20240301,2,2112,6
20240301,2,2116,4
20240301,2,2122,1
20240301,2,2128,3
20240301,2,2129,1
20240301,2,2130,0
20240301,2,2139,12
20240301,2,2143,3
20240301,2,2148,1
20240301,2,2159,4
20240301,2,2171,2
20240301,2,2172,11
20240301,2,2178,10
20240301,2,2179,11
20240301,2,2185,10
20240301,2,2186,0
20240301,2,2191,7
20240301,2,2198,0
20240301,2,2199,3
20240301,2,3310,1
20240301,2,3311,0
20240301,2,3802,0
20240301,3,2111,0
20240301,3,2112,6
20240301,3,2116,3
20240301,3,2122,1
20240301,3,2128,3
20240301,3,2129,1
20240301,3,2130,0
20240301,3,2139,13
20240301,3,2143,3
20240301,3,2148,1
20240301,3,2159,4
20240301,3,2171,1
20240301,3,2172,12
20240301,3,2178,10
20240301,3,2179,11
20240301,3,2185,11
20240301,3,2186,0
20240301,3,2191,6
20240301,3,2198,0
20240301,3,2199,3
20240301,3,3310,1
20240301,3,3311,0
20240301,3,3802,0
20240301,4,2111,0
20240301,4,2112,6
20240301,4,2116,3
20240301,4,2122,0
20240301,4,2128,3
20240301,4,2129,1
20240301,4,2130,0
20240301,4,2139,13
20240301,4,2143,3
20240301,4,2148,1
20240301,4,2159,4
20240301,4,2171,1
20240301,4,2172,12
20240301,4,2178,10
20240301,4,2179,11
20240301,4,2185,10
20240301,4,2186,0
20240301,4,2191,8
20240301,4,2198,0
20240301,4,2199,3
20240301,4,3310,1
20240301,4,3311,0
20240301,4,3802,0
20240301,6,2111,1
20240301,6,2112,6
20240301,6,2116,4
20240301,6,2122,0
20240301,6,2128,3
20240301,6,2129,1
20240301,6,2130,0
20240301,6,2139,13
20240301,6,2143,3
20240301,6,2148,1
20240301,6,2159,4
20240301,6,2171,3
20240301,6,2172,12
20240301,6,2178,10
20240301,6,2179,11
20240301,6,2185,9
20240301,6,2186,0
20240301,6,2191,9
20240301,6,2198,0
20240301,6,2199,1
20240301,6,3310,1
20240301,6,3311,0
20240301,6,3802,0
20240301,7,2111,1
20240301,7,2112,6
20240301,7,2116,4
20240301,7,2122,0
20240301,7,2128,3
20240301,7,2129,1
20240301,7,2130,0
20240301,7,2139,12
20240301,7,2143,3
20240301,7,2148,1
20240301,7,2159,4
20240301,7,2171,2
20240301,7,2172,12
20240301,7,2178,10
20240301,7,2179,11
20240301,7,2185,8
20240301,7,2186,0
20240301,7,2191,8
20240301,7,2198,0
20240301,7,2199,2
20240301,7,3310,1
20240301,7,3311,0
20240301,7,3802,0
20240301,8,2111,1
20240301,8,2112,6
20240301,8,2116,4
20240301,8,2122,0
20240301,8,2128,3
20240301,8,2129,1
20240301,8,2130,0
20240301,8,2139,12
20240301,8,2143,3
20240301,8,2148,1
20240301,8,2159,4
20240301,8,2171,2
20240301,8,2172,12
20240301,8,2178,10
20240301,8,2179,11
20240301,8,2185,9
20240301,8,2186,0
