RENT_DATE,RENT_TIME,RENT_ID,CNT
20210601,0,02111,1
20210601,0,02112,3
20210601,0,02116,3
20210601,0,02122,1
20210601,0,02139,1
20210601,0,02143,1
20210601,0,02171,3
20210601,0,02172,1
20210601,0,02179,4
20210601,0,02185,1
20210601,0,02186,2
20210601,0,02191,1
20210601,1,02112,1
20210601,1,02122,1
20210601,1,02128,2
20210601,1,02171,2
20210601,1,02179,1
20210601,1,02185,2
20210601,1,02186,2
20210601,10,02111,1
20210601,10,02122,1
20210601,10,02128,2
20210601,10,02159,1
20210601,10,02171,2
20210601,10,02179,1
20210601,10,02185,4
20210601,10,02191,2
20210601,10,02198,2
20210601,10,03802,1
20210601,11,02111,2
20210601,11,02112,2
20210601,11,02122,3
20210601,11,02128,1
20210601,11,02129,1
20210601,11,02139,3
20210601,11,02148,2
20210601,11,02159,2
20210601,11,02171,2
20210601,11,02179,3
20210601,11,02185,2
20210601,11,02186,1
20210601,11,03310,3
20210601,12,02111,2
20210601,12,02112,2
20210601,12,02122,2
20210601,12,02128,2
20210601,12,02139,2
20210601,12,02148,2
20210601,12,02171,2
20210601,12,02178,2
20210601,12,02179,4
20210601,12,02191,2
20210601,12,02198,2
20210601,12,03310,1
20210601,13,02111,1
20210601,13,02112,3
20210601,13,02128,1
20210601,13,02139,1
20210601,13,02148,1
20210601,13,02171,6
20210601,13,02178,1
20210601,13,02179,1
20210601,13,02191,3
20210601,13,02198,1
20210601,13,03310,1
20210601,13,03311,3
20210601,14,02112,1
20210601,14,02116,2
20210601,14,02122,1
20210601,14,02129,1
20210601,14,02139,3
20210601,14,02148,2
20210601,14,02171,6
20210601,14,02172,1
20210601,14,02179,2
20210601,14,02185,3
20210601,14,02186,1
20210601,14,02198,2
20210601,14,03802,1
20210601,15,02111,4
20210601,15,02116,2
20210601,15,02128,1
20210601,15,02139,1
20210601,15,02148,1
20210601,15,02171,5
20210601,15,02178,2
20210601,15,02179,2
20210601,15,02186,2
20210601,15,02191,2
20210601,15,02198,2
20210601,15,03310,4
20210601,15,03311,1
20210601,15,03802,2
20210601,16,02111,2
20210601,16,02116,3
20210601,16,02122,2
20210601,16,02129,1
20210601,16,02143,2
20210601,16,02148,3
20210601,16,02171,5
20210601,16,02178,2
20210601,16,02179,1
20210601,16,02185,3
20210601,16,02186,2
20210601,16,02191,2
20210601,16,02198,1
20210601,16,03802,1
20210601,17,02111,5
20210601,17,02112,3
20210601,17,02116,3
20210601,17,02128,2
20210601,17,02139,3
20210601,17,02143,1
20210601,17,02148,1
20210601,17,02171,5
20210601,17,02172,5
20210601,17,02178,3
20210601,17,02179,3
20210601,17,02191,5
20210601,17,02198,1
20210601,17,03310,3
20210601,17,03311,4
20210601,18,02111,3
20210601,18,02112,2
20210601,18,02116,7
20210601,18,02122,3
20210601,18,02128,1
20210601,18,02139,4
20210601,18,02143,2
20210601,18,02148,2
20210601,18,02159,1
20210601,18,02171,8
20210601,18,02172,3
20210601,18,02178,1
20210601,18,02179,10
20210601,18,02185,2
20210601,18,02186,1
20210601,18,02191,1
20210601,18,02198,2
20210601,18,03310,1
20210601,18,03311,2
20210601,18,03802,1
20210601,19,02111,6
20210601,19,02112,6
20210601,19,02116,1
20210601,19,02122,4
20210601,19,02128,4
20210601,19,02129,1
20210601,19,02139,1
20210601,19,02148,4
20210601,19,02171,5
20210601,19,02172,2
20210601,19,02179,4
20210601,19,02185,1
20210601,19,02186,3
20210601,19,02191,3
20210601,19,02198,2
20210601,19,02199,1
20210601,19,03310,1
20210601,19,03802,2
20210601,2,02112,1
20210601,2,02130,1
20210601,2,02139,1
20210601,2,02148,3
20210601,2,02172,1
20210601,2,02179,1
20210601,2,02191,1
20210601,2,03311,2
20210601,20,02111,5
