DATE,TIME,RENT_ID,AVAILABLE
20240501,0,2111,14
20240501,0,2112,8
20240501,0,2116,19
20240501,0,2122,3
20240501,0,2128,5
20240501,0,2129,9
20240501,0,2130,0
20240501,0,2139,11
20240501,0,2143,14
20240501,0,2148,4
20240501,0,2159,7
20240501,0,2171,8
20240501,0,2172,7
20240501,0,2178,0
20240501,0,2179,38
20240501,0,2185,6
20240501,0,2186,3
20240501,0,2191,7
20240501,0,2198,4
20240501,0,2199,1
20240501,0,3310,0
20240501,0,3311,2
20240501,0,3802,2
20240501,1,2111,12
20240501,1,2112,10
20240501,1,2116,20
20240501,1,2122,1
20240501,1,2128,3
20240501,1,2129,6
20240501,1,2130,0
20240501,1,2139,11
20240501,1,2143,14
20240501,1,2148,4
20240501,1,2159,7
20240501,1,2171,5
20240501,1,2172,5
20240501,1,2178,0
20240501,1,2179,34
20240501,1,2185,7
20240501,1,2186,1
20240501,1,2191,7
20240501,1,2198,6
20240501,1,2199,1
20240501,1,3310,0
20240501,1,3311,1
20240501,1,3802,2
20240501,2,2111,12
20240501,2,2112,11
20240501,2,2116,20
20240501,2,2122,2
20240501,2,2128,3
20240501,2,2129,7
20240501,2,2130,0
20240501,2,2139,10
20240501,2,2143,14
20240501,2,2148,5
20240501,2,2159,8
20240501,2,2171,4
20240501,2,2172,6
20240501,2,2178,0
20240501,2,2179,34
20240501,2,2185,8
20240501,2,2186,2
20240501,2,2191,10
20240501,2,2198,5
20240501,2,2199,1
20240501,2,3310,0
20240501,2,3311,1
20240501,2,3802,2
20240501,3,2111,11
20240501,3,2112,10
20240501,3,2116,20
20240501,3,2122,2
20240501,3,2128,3
20240501,3,2129,7
20240501,3,2130,0
20240501,3,2139,15
20240501,3,2143,14
20240501,3,2148,5
20240501,3,2159,9
20240501,3,2171,5
20240501,3,2172,6
20240501,3,2178,0
20240501,3,2179,36
20240501,3,2185,7
20240501,3,2186,3
20240501,3,2191,14
20240501,3,2198,3
20240501,3,2199,1
20240501,3,3310,0
20240501,3,3311,1
20240501,3,3802,2
20240501,4,2111,11
20240501,4,2112,9
20240501,4,2116,21
