RENT_DATE,RENT_TIME,RENT_ID,CNT
20210401,0,02111,2
20210401,0,02112,4
20210401,0,02128,5
20210401,0,02171,1
20210401,0,02179,4
20210401,0,02198,1
20210401,0,03311,1
20210401,1,02129,1
20210401,1,02139,2
20210401,1,02143,1
20210401,1,02148,1
20210401,1,02171,1
20210401,1,02172,1
20210401,1,02179,3
20210401,1,02185,1
20210401,10,02111,1
20210401,10,02112,1
20210401,10,02116,3
20210401,10,02122,1
20210401,10,02129,2
20210401,10,02139,1
20210401,10,02148,2
20210401,10,02171,5
20210401,10,02172,2
20210401,10,02178,1
20210401,10,02179,2
20210401,10,02185,2
20210401,10,02186,5
20210401,10,02198,1
20210401,10,03311,2
20210401,11,02111,3
20210401,11,02112,2
20210401,11,02116,2
20210401,11,02122,3
20210401,11,02128,1
20210401,11,02129,2
20210401,11,02139,1
20210401,11,02143,1
20210401,11,02148,4
20210401,11,02159,1
20210401,11,02171,3
20210401,11,02172,1
20210401,11,02179,2
20210401,11,02185,2
20210401,11,02191,2
20210401,11,03311,2
20210401,11,03802,1
20210401,12,02111,4
20210401,12,02122,1
20210401,12,02129,4
20210401,12,02130,1
20210401,12,02139,2
20210401,12,02148,2
20210401,12,02171,5
20210401,12,02172,1
20210401,12,02178,1
20210401,12,02179,5
20210401,12,02185,3
20210401,12,02186,3
20210401,12,02191,3
20210401,12,03311,4
20210401,12,03802,1
20210401,13,02111,3
20210401,13,02112,3
20210401,13,02116,1
20210401,13,02122,1
20210401,13,02139,2
20210401,13,02143,1
20210401,13,02148,2
20210401,13,02159,1
20210401,13,02171,5
20210401,13,02179,4
20210401,13,02191,2
20210401,13,02198,1
20210401,14,02111,1
20210401,14,02112,1
20210401,14,02116,1
20210401,14,02128,4
20210401,14,02130,2
20210401,14,02139,1
20210401,14,02148,5
20210401,14,02159,2
20210401,14,02171,4
20210401,14,02172,4
20210401,14,02178,2
20210401,14,02179,5
20210401,14,02191,2
20210401,14,02198,1
20210401,14,02199,1
20210401,14,03311,2
20210401,15,02111,5
20210401,15,02112,1
20210401,15,02116,2
20210401,15,02122,4
20210401,15,02128,1
20210401,15,02129,2
20210401,15,02130,2
20210401,15,02139,1
20210401,15,02148,8
20210401,15,02159,1
20210401,15,02171,6
20210401,15,02172,4
20210401,15,02178,1
20210401,15,02179,1
20210401,15,02185,2
20210401,15,02186,3
20210401,15,02191,1
20210401,15,02199,1
20210401,15,03311,1
20210401,16,02111,3
20210401,16,02112,3
20210401,16,02116,1
20210401,16,02122,5
20210401,16,02128,1
20210401,16,02130,1
20210401,16,02148,3
20210401,16,02159,2
20210401,16,02171,5
20210401,16,02172,5
20210401,16,02178,2
20210401,16,02179,2
20210401,16,02185,3
20210401,16,02186,2
20210401,16,02191,7
20210401,16,02198,3
20210401,16,02199,2
20210401,16,03310,1
20210401,16,03311,4
20210401,16,03802,1
20210401,17,02112,3
20210401,17,02116,2
