RENT_DATE,RENT_TIME,RENT_ID,CNT
20221201,0,02111,1
20221201,0,02116,1
20221201,0,02122,1
20221201,0,02128,1
20221201,0,02171,1
20221201,0,02179,1
20221201,0,02186,1
20221201,0,02191,2
20221201,0,03311,1
20221201,1,02111,3
20221201,1,02112,1
20221201,1,02171,1
20221201,1,02191,1
20221201,1,02198,1
20221201,10,02111,1
20221201,10,02112,1
20221201,10,02128,1
20221201,10,02148,1
20221201,10,02159,1
20221201,10,02178,1
20221201,10,02186,2
20221201,10,02191,2
20221201,10,03802,2
20221201,11,02111,3
20221201,11,02112,1
20221201,11,02122,1
20221201,11,02139,2
20221201,11,02143,2
20221201,11,02178,1
20221201,11,02198,1
20221201,11,03311,2
20221201,11,03802,1
20221201,12,02111,2
20221201,12,02130,2
20221201,12,02143,1
20221201,12,02148,2
20221201,12,02159,3
20221201,12,02198,3
20221201,12,03310,1
20221201,12,03311,1
20221201,12,03802,1
20221201,13,02111,3
20221201,13,02112,2
20221201,13,02122,1
20221201,13,02143,1
20221201,13,02148,1
20221201,13,02171,1
20221201,13,02179,2
20221201,13,02186,1
20221201,13,02191,1
20221201,13,03802,1
20221201,14,02112,1
20221201,14,02116,2
20221201,14,02122,1
20221201,14,02128,1
20221201,14,02129,2
20221201,14,02139,2
20221201,14,02171,2
20221201,14,02178,1
20221201,14,02179,1
20221201,14,02191,1
20221201,14,02198,1
20221201,14,02199,1
20221201,14,03311,2
20221201,15,02111,3
20221201,15,02116,1
20221201,15,02130,1
20221201,15,02139,1
20221201,15,02148,2
20221201,15,02172,1
20221201,15,02179,2
20221201,15,02198,1
20221201,16,02111,1
20221201,16,02112,1
20221201,16,02122,1
20221201,16,02128,1
20221201,16,02129,1
20221201,16,02139,1
20221201,16,02148,1
20221201,16,02171,1
20221201,16,02178,2
20221201,16,02185,3
20221201,16,02191,1
20221201,16,02198,1
20221201,17,02122,1
20221201,17,02139,2
20221201,17,02148,1
20221201,17,02171,2
20221201,17,02172,1
20221201,17,02185,1
20221201,17,02186,1
20221201,17,02198,3
20221201,17,02199,1
20221201,17,03311,2
20221201,18,02111,1
20221201,18,02112,3
20221201,18,02116,2
20221201,18,02128,1
20221201,18,02129,1
20221201,18,02159,2
20221201,18,02171,7
20221201,18,02172,1
20221201,18,02179,3
20221201,18,02186,1
20221201,18,02191,2
20221201,18,02198,2
20221201,18,02199,1
20221201,18,03311,4
20221201,19,02111,2
20221201,19,02148,1
20221201,19,02171,4
20221201,19,02179,3
20221201,19,02198,3
20221201,19,03311,2
20221201,19,03802,2
20221201,2,02179,1
20221201,2,02198,1
20221201,20,02112,1
20221201,20,02122,1
20221201,20,02128,1
20221201,20,02171,3
20221201,20,02179,1
20221201,20,02191,1
20221201,20,02198,1
20221201,20,03311,1
20221201,20,03802,2
20221201,21,02111,3
20221201,21,02112,1
20221201,21,02159,2
20221201,21,02171,1
20221201,21,02172,1
20221201,21,02191,2
20221201,21,02198,3
20221201,21,03311,3
20221201,21,03802,2
20221201,22,02111,3
20221201,22,02116,4
20221201,22,02122,1
20221201,22,02128,1
20221201,22,02129,1
20221201,22,02148,1
20221201,22,02159,1
20221201,22,02171,2
20221201,22,02179,2
20221201,22,02185,1
20221201,22,02186,1
20221201,22,02198,3
20221201,22,03310,1
20221201,22,03311,1
20221201,23,02111,3
20221201,23,02112,1
20221201,23,02116,3
20221201,23,02148,1
20221201,23,02179,1
20221201,23,02191,1
20221201,23,03311,1
20221201,3,02130,1
20221201,4,02122,1
20221201,5,02111,1
20221201,5,02179,1
20221201,6,02116,1
20221201,6,02128,1
20221201,6,02148,2
20221201,6,02198,1
20221201,6,03311,1
20221201,6,03802,1
20221201,7,02148,1
20221201,7,02159,1
20221201,7,02171,1
20221201,7,02179,1
20221201,7,02185,3
20221201,7,02186,2
20221201,7,03311,1
20221201,7,03802,4
20221201,8,02112,1
20221201,8,02116,1
20221201,8,02128,1
20221201,8,02143,1
20221201,8,02148,1
20221201,8,02171,1
20221201,8,02185,1
20221201,8,02186,1
20221201,8,02191,1
20221201,8,03802,4
20221201,9,02111,1
20221201,9,02112,1
20221201,9,02129,1
20221201,9,02130,1
20221201,9,02139,2
20221201,9,02148,3
20221201,9,02159,1
20221201,9,02171,1
20221201,9,02178,1
20221201,9,02179,3
20221201,9,02186,2
20221201,9,02191,4
20221201,9,02198,2
20221201,9,03311,1
20221201,9,03802,2
20221202,0,02111,1
20221202,0,02112,1
20221202,0,02128,2
20221202,0,02179,1
20221202,0,02185,1
20221202,0,02186,1
20221202,0,03311,1
20221202,1,02111,1
20221202,1,02112,1
20221202,1,02116,1
20221202,1,02139,1
20221202,1,02148,1
20221202,1,02171,2
20221202,1,02186,1
20221202,1,02191,1
20221202,1,03311,1
20221202,10,02111,1
20221202,10,02112,1
20221202,10,02116,1
20221202,10,02128,1
20221202,10,02130,2
20221202,10,02139,1
20221202,10,02148,1
20221202,10,02159,2
20221202,10,02172,1
20221202,10,02179,1
20221202,10,02185,1
20221202,10,02186,1
20221202,10,02191,1
20221202,10,02198,1
20221202,10,03310,1
20221202,10,03311,3
20221202,10,03802,2
20221202,11,02111,1
20221202,11,02112,2
20221202,11,02116,2
20221202,11,02122,1
20221202,11,02128,1
20221202,11,02129,1
20221202,11,02139,3
20221202,11,02159,3
20221202,11,02171,1
20221202,11,02172,1
20221202,11,02178,2
20221202,11,02179,2
20221202,11,02185,1
20221202,11,02191,2
20221202,11,02198,1
20221202,11,03310,2
20221202,11,03311,1
20221202,12,02111,1
20221202,12,02139,3
20221202,12,02143,2
20221202,12,02159,1
20221202,12,02171,2
20221202,12,02179,2
20221202,12,02186,1
20221202,12,02191,1
20221202,12,02198,1
20221202,12,03310,1
20221202,12,03311,1
20221202,13,02112,1
20221202,13,02128,2
20221202,13,02139,3
20221202,13,02159,1
20221202,13,02171,2
20221202,13,02179,1
20221202,13,02186,1
20221202,13,02191,1
20221202,13,02198,2
20221202,13,03310,2
20221202,13,03311,1
20221202,13,03802,1
20221202,14,02111,3
20221202,14,02116,1
20221202,14,02122,1
20221202,14,02129,1
20221202,14,02139,1
20221202,14,02159,2
20221202,14,02172,2
20221202,14,02178,3
20221202,14,02185,1
20221202,14,03310,1
20221202,14,03311,1
20221202,15,02112,1
20221202,15,02128,1
20221202,15,02139,3
20221202,15,02143,1
20221202,15,02148,1
20221202,15,02171,3
20221202,15,02172,2
20221202,15,02178,3
20221202,15,02179,2
20221202,15,02185,1
20221202,15,02191,1
20221202,15,03310,2
20221202,15,03311,2
20221202,16,02112,1
20221202,16,02122,1
20221202,16,02129,1
20221202,16,02139,2
20221202,16,02159,3
20221202,16,02171,2
20221202,16,02178,1
20221202,16,02186,2
20221202,16,02198,1
20221202,16,03310,1
20221202,16,03311,5
20221202,17,02116,1
20221202,17,02122,1
20221202,17,02128,3
20221202,17,02148,2
20221202,17,02159,1
20221202,17,02171,1
20221202,17,02179,1
20221202,17,02185,1
20221202,17,02186,1
20221202,17,02191,2
20221202,17,02198,3
20221202,17,03311,1
20221202,18,02111,6
20221202,18,02112,1
20221202,18,02116,1
20221202,18,02122,1
20221202,18,02139,1
20221202,18,02143,1
20221202,18,02148,3
20221202,18,02171,5
20221202,18,02179,3
20221202,18,02186,1
20221202,18,02191,1
20221202,18,03310,3
20221202,18,03311,3
20221202,19,02111,4
20221202,19,02112,1
20221202,19,02139,1
20221202,19,02148,1
20221202,19,02159,1
20221202,19,02171,2
20221202,19,02178,2
20221202,19,02179,1
20221202,19,02186,1
20221202,19,02198,1
20221202,19,03310,1
20221202,19,03311,2
20221202,19,03802,1
20221202,2,02111,1
20221202,2,02129,1
20221202,2,02148,1
20221202,2,02185,2
20221202,20,02111,3
20221202,20,02112,1
20221202,20,02116,2
20221202,20,02122,2
20221202,20,02128,1
20221202,20,02143,1
20221202,20,02172,1
20221202,20,02179,3
20221202,20,02185,2
20221202,20,02186,1
20221202,20,03802,1
20221202,21,02111,2
20221202,21,02112,1
20221202,21,02116,2
20221202,21,02148,2
20221202,21,02159,1
20221202,21,02171,3
20221202,21,02179,2
20221202,21,02186,2
20221202,21,02198,1
20221202,21,03311,2
20221202,21,03802,3
20221202,22,02111,1
20221202,22,02112,1
20221202,22,02116,2
20221202,22,02122,1
20221202,22,02148,2
20221202,22,02171,1
20221202,22,02172,1
20221202,22,02179,1
20221202,22,02185,1
20221202,22,02186,1
20221202,22,02191,2
20221202,22,02199,1
20221202,22,03802,1
20221202,23,02111,1
20221202,23,02112,1
20221202,23,02129,1
20221202,23,02139,1
20221202,23,02171,2
20221202,23,02179,2
20221202,23,02186,2
20221202,23,02198,2
20221202,23,03802,1
20221202,3,02111,1
20221202,3,02130,1
20221202,3,02171,1
20221202,3,03802,1
20221202,4,02139,1
20221202,6,02112,1
20221202,6,02186,1
20221202,6,03311,1
20221202,6,03802,1
20221202,7,02112,1
20221202,7,02179,2
20221202,7,02185,1
20221202,7,02186,1
20221202,7,02191,1
20221202,7,03311,1
20221202,7,03802,3
20221202,8,02111,1
20221202,8,02112,1
20221202,8,02139,1
20221202,8,02143,1
20221202,8,02148,1
20221202,8,02159,1
20221202,8,02171,1
20221202,8,02179,3
20221202,8,02185,1
20221202,8,02191,2
20221202,9,02111,1
20221202,9,02116,2
20221202,9,02128,1
20221202,9,02129,1
20221202,9,02139,2
20221202,9,02171,1
20221202,9,02178,1
20221202,9,02179,2
20221202,9,02185,1
20221202,9,02186,1
20221202,9,02191,1
20221202,9,02198,2
20221202,9,03311,1
20221203,0,02111,2
20221203,0,02128,1
20221203,0,02139,1
20221203,0,02148,1
20221203,0,02171,1
20221203,0,02179,1
20221203,0,02198,1
20221203,1,02139,1
20221203,1,02198,1
20221203,1,03310,1
20221203,10,02111,1
20221203,10,02112,1
20221203,10,02116,2
20221203,10,02143,2
20221203,10,02159,1
20221203,10,02171,1
20221203,10,02191,1
20221203,11,02128,2
20221203,11,02139,1
