RENT_DATE,RENT_TIME,RENT_ID,CNT
20230901,0,02111,5
20230901,0,02112,2
20230901,0,02116,1
20230901,0,02122,1
20230901,0,02128,2
20230901,0,02139,2
20230901,0,02148,2
20230901,0,02159,3
20230901,0,02171,9
20230901,0,02172,1
20230901,0,02179,2
20230901,0,02185,2
20230901,0,02191,6
20230901,0,02198,3
20230901,0,03311,3
20230901,1,02111,3
20230901,1,02112,3
20230901,1,02116,1
20230901,1,02122,3
20230901,1,02143,1
20230901,1,02159,1
20230901,1,02171,1
20230901,1,02172,2
20230901,1,02179,2
20230901,1,02185,3
20230901,1,02191,2
20230901,1,02198,3
20230901,1,03311,1
20230901,10,02111,3
20230901,10,02112,1
20230901,10,02122,1
20230901,10,02128,2
20230901,10,02129,2
20230901,10,02139,1
20230901,10,02143,2
20230901,10,02148,4
20230901,10,02171,5
20230901,10,02172,1
20230901,10,02178,2
20230901,10,02179,4
20230901,10,02185,3
20230901,10,02198,1
20230901,10,03310,1
20230901,10,03311,4
20230901,10,03802,1
20230901,11,02111,2
20230901,11,02112,1
20230901,11,02116,1
20230901,11,02122,1
20230901,11,02128,1
20230901,11,02129,2
20230901,11,02139,2
20230901,11,02143,3
20230901,11,02148,2
20230901,11,02172,2
20230901,11,02178,7
20230901,11,02179,2
20230901,11,02191,2
20230901,11,02198,3
20230901,11,03310,2
20230901,11,03311,4
20230901,12,02116,3
20230901,12,02122,1
20230901,12,02128,2
20230901,12,02129,1
20230901,12,02139,1
20230901,12,02148,2
20230901,12,02171,1
20230901,12,02172,2
20230901,12,02178,2
20230901,12,02179,7
20230901,12,02186,1
20230901,12,02199,2
20230901,12,03310,3
20230901,12,03311,1
20230901,13,02111,1
20230901,13,02112,1
20230901,13,02122,1
20230901,13,02128,2
20230901,13,02129,1
20230901,13,02139,2
20230901,13,02143,1
20230901,13,02148,2
20230901,13,02171,4
20230901,13,02172,3
20230901,13,02178,2
20230901,13,02179,1
20230901,13,02186,1
20230901,13,02191,2
20230901,13,02198,2
20230901,13,02199,1
20230901,13,03310,4
20230901,13,03311,3
20230901,14,02111,4
20230901,14,02116,1
20230901,14,02122,1
20230901,14,02128,2
20230901,14,02129,2
20230901,14,02148,1
20230901,14,02171,6
20230901,14,02172,4
20230901,14,02179,5
20230901,14,02198,2
20230901,14,02199,1
20230901,14,03311,2
20230901,14,03802,1
20230901,15,02111,1
20230901,15,02112,2
20230901,15,02116,1
20230901,15,02122,4
20230901,15,02139,3
20230901,15,02171,2
20230901,15,02179,4
20230901,15,02185,2
20230901,15,02186,3
20230901,15,02191,2
20230901,15,02198,1
20230901,15,03310,2
20230901,15,03311,4
20230901,16,02111,1
20230901,16,02112,1
20230901,16,02122,1
20230901,16,02128,2
20230901,16,02129,1
20230901,16,02143,1
20230901,16,02148,1
20230901,16,02159,1
20230901,16,02171,4
20230901,16,02172,1
20230901,16,02178,5
20230901,16,02179,1
20230901,16,02185,3
20230901,16,02186,1
20230901,16,02191,2
20230901,16,03310,1
20230901,16,03311,5
20230901,17,02111,2
20230901,17,02112,1
20230901,17,02116,1
20230901,17,02122,5
20230901,17,02128,2
20230901,17,02129,3
20230901,17,02130,1
20230901,17,02139,1
20230901,17,02143,7
20230901,17,02148,1
20230901,17,02159,1
20230901,17,02171,2
20230901,17,02172,1
20230901,17,02178,3
20230901,17,02179,4
20230901,17,02185,5
20230901,17,02191,1
20230901,17,02198,1
20230901,17,03310,2
20230901,17,03311,10
20230901,17,03802,1
20230901,18,02111,4
20230901,18,02112,3
20230901,18,02116,12
20230901,18,02122,3
20230901,18,02128,5
20230901,18,02129,8
20230901,18,02130,1
20230901,18,02139,2
20230901,18,02143,5
20230901,18,02148,4
20230901,18,02171,11
20230901,18,02178,4
20230901,18,02179,7
20230901,18,02185,2
20230901,18,02186,3
20230901,18,02191,8
20230901,18,02198,2
20230901,18,03311,5
20230901,19,02111,7
20230901,19,02112,4
20230901,19,02116,1
20230901,19,02122,6
20230901,19,02128,2
20230901,19,02129,1
20230901,19,02130,3
20230901,19,02139,2
20230901,19,02143,2
20230901,19,02148,1
20230901,19,02171,7
20230901,19,02172,1
20230901,19,02178,1
20230901,19,02179,2
20230901,19,02185,2
20230901,19,02186,1
20230901,19,02191,2
20230901,19,02198,5
20230901,19,03311,9
20230901,2,02111,2
20230901,2,02112,2
20230901,2,02116,1
20230901,2,02128,1
20230901,2,02171,1
20230901,2,02179,4
20230901,2,02186,1
20230901,2,02191,3
20230901,2,03311,3
20230901,20,02111,2
20230901,20,02112,1
20230901,20,02116,2
20230901,20,02122,3
20230901,20,02128,2
