RENT_DATE,RENT_TIME,RENT_ID,CNT
20231201,0,02111,1
20231201,0,02139,1
20231201,0,02148,1
20231201,0,02171,2
20231201,0,02179,2
20231201,0,02185,1
20231201,0,02186,1
20231201,0,02191,2
20231201,0,02198,2
20231201,0,03310,1
20231201,1,02128,1
20231201,1,02143,1
20231201,1,02148,1
20231201,1,02171,2
20231201,1,02179,4
20231201,1,02185,1
20231201,1,03310,1
20231201,1,03311,2
20231201,10,02111,1
20231201,10,02112,1
20231201,10,02122,1
20231201,10,02128,2
20231201,10,02129,2
20231201,10,02171,1
20231201,10,02172,2
20231201,10,02179,3
20231201,10,02186,1
20231201,10,03311,1
20231201,11,02128,2
20231201,11,02129,1
20231201,11,02148,1
20231201,11,02171,2
20231201,11,02172,1
20231201,11,02178,2
20231201,11,02179,1
20231201,11,02191,1
20231201,11,02198,2
20231201,12,02111,1
20231201,12,02112,1
20231201,12,02129,1
20231201,12,02139,3
20231201,12,02143,1
20231201,12,02148,1
20231201,12,02171,3
20231201,12,02185,1
20231201,12,02186,3
20231201,12,02191,1
20231201,12,03802,1
20231201,13,02111,1
20231201,13,02112,1
20231201,13,02128,4
20231201,13,02143,1
20231201,13,02171,3
20231201,13,02172,1
20231201,13,02178,2
20231201,13,02185,2
20231201,13,03311,1
20231201,13,03802,2
20231201,14,02111,1
20231201,14,02122,2
20231201,14,02128,2
20231201,14,02129,1
20231201,14,02143,1
20231201,14,02148,4
20231201,14,02179,1
20231201,14,02191,1
20231201,14,02198,1
20231201,14,03311,1
20231201,15,02111,3
20231201,15,02112,2
20231201,15,02139,2
20231201,15,02143,2
20231201,15,02148,1
20231201,15,02171,1
20231201,15,02179,1
20231201,15,02186,1
20231201,15,02198,1
20231201,15,03311,2
20231201,15,03802,1
20231201,16,02111,2
20231201,16,02112,1
20231201,16,02128,2
20231201,16,02129,1
20231201,16,02143,1
20231201,16,02148,1
20231201,16,02171,1
20231201,16,02172,1
20231201,16,02178,2
20231201,16,02185,1
20231201,16,02186,1
20231201,16,02198,2
20231201,16,03310,1
20231201,16,03311,1
20231201,16,03802,2
20231201,17,02111,5
20231201,17,02112,1
20231201,17,02129,1
20231201,17,02139,2
